sec,mb
0,93679.89
0.018,93675.53
0.038,93683.2
0.058,93681.42
0.078,93682.06
0.098,93679.71
0.118,93681.1
0.138,93682.27
0.158,93680.17
0.178,93681.2
0.198,93680.06
0.218,93680.64
0.238,93682.72
0.258,93677.33
0.278,93680.18
0.298,93680.16
0.318,93680.78
0.338,93680.36
0.358,93682.83
0.378,93682.5
0.398,93682.16
0.418,93680.65
0.438,93681.87
0.458,93683.03
0.478,93680.53
0.498,93681.63
0.518,93681
0.538,93681.48
0.558,93678.06
0.578,93680.22
0.598,93680.06
0.618,93681.69
0.638,93680.29
0.658,93680.68
0.678,93682.13
0.698,93679.15
0.718,93682.42
0.738,93680.77
0.758,93682.02
0.778,93680.32
0.848,93658.93
0.868,93679.48
0.888,93680.8
0.908,93679.07
0.928,93679.41
0.948,93680.62
0.968,93677.97
0.988,93680.34
1.008,93679.58
1.028,93678.23
1.048,93677.99
1.068,93679.31
1.088,93680.7
1.108,93680.66
1.128,93682.49
1.148,93679.77
1.168,93679.55
1.188,93680.89
1.208,93680.69
1.228,93681.26
1.248,93680.37
1.268,93682.29
1.288,93680.68
1.308,93682.02
1.328,93680.81
1.348,93680.75
1.368,93679.68
1.388,93680.5
1.408,93682.56
1.428,93680.43
1.448,93680.77
1.468,93681.35
1.488,93679.82
1.508,93682.08
1.528,93681.41
1.548,93681.43
1.568,93678.87
1.588,93680.52
1.608,93678.63
1.628,93682.96
1.648,93681.13
1.668,93681.11
1.688,93680.06
1.708,93683.77
1.728,93680.5
1.748,93681.56
1.768,93680.74
1.788,93680.62
1.808,93681.7
1.828,93680.97
1.848,93680.17
1.868,93681.71
1.888,93682.05
1.908,93680.91
1.928,93679.58
1.948,93678.83
1.968,93678.74
1.988,93678.6
2.008,93680.76
2.028,93679.8
2.048,93682.35
2.068,93681.87
2.088,93679
2.108,93680.02
2.128,93682.89
2.148,93679.88
2.168,93679.48
2.188,93677.87
2.208,93681.95
2.228,93679.31
2.248,93679.34
2.268,93680.66
2.288,93682.78
2.308,93682.02
2.328,93683.94
2.348,93682.18
2.368,93680.89
2.388,93678.37
2.408,93680.27
2.428,93681.24
2.448,93680.34
2.468,93680.47
2.488,93680.49
2.508,93681.44
2.528,93681.92
2.548,93683.55
2.568,93679.45
2.588,93681.22
2.608,93680.61
2.628,93681.16
2.648,93680.92
2.668,93682.19
2.688,93680.29
2.708,93681.78
2.728,93681.94
2.748,93682.2
2.768,93679.75
2.788,93679.67
2.808,93681.43
2.828,93681.43
2.848,93681.41
2.868,93683.37
2.888,93682.91
2.908,93682.29
2.928,93680.24
2.948,93681.67
2.968,93681.16
2.988,93680.14
3.008,93680.96
3.028,93680.13
3.048,93683.28
3.068,93681.04
3.088,93681.5
3.108,93679.07
3.128,93680.7
3.148,93681.94
3.168,93680.84
3.188,93682.09
3.208,93680.73
3.228,93681.26
3.248,93682.22
3.268,93678.83
3.288,93678.53
3.308,93680.7
3.328,93680.13
3.348,93680.34
3.368,93683.17
3.388,93680.59
3.408,93681.16
3.428,93678.58
3.448,93679.76
3.468,93679.16
3.488,93681.42
3.508,93681.7
3.528,93680.87
3.548,93680.14
3.568,93680.59
3.588,93680.7
3.608,93681.18
3.628,93681.52
3.648,93681.12
3.668,93681.37
3.688,93681.27
3.708,93680.84
3.728,93678.49
3.748,93682.21
3.768,93680.32
3.788,93682.2
3.808,93680.33
3.828,93681.83
3.848,93681.06
3.868,93679.84
3.888,93678.97
3.908,93680.36
3.928,93681.07
3.948,93682.64
3.968,93682.11
3.988,93680.43
4.008,93682.29
4.028,93680.62
4.048,93680.15
4.068,93679.9
4.088,93680.35
4.108,93682.26
4.128,93680.39
4.148,93679.18
4.168,93680.22
4.188,93682.22
4.208,93680.46
4.228,93682.58
4.248,93682.7
4.268,93681.89
4.288,93681.52
4.308,93680.24
4.328,93681.71
4.348,93679.71
4.368,93681.12
4.388,93679.68
4.408,93680.43
4.428,93681.76
