sec,mb,accel
0,93679.89,1.02
0.018,93675.53,1.02
0.038,93683.2,1.02
0.058,93681.42,1.02
0.078,93682.06,1.02
0.098,93679.71,1.02
0.118,93681.1,1.03
0.138,93682.27,1.03
0.158,93680.17,1.03
0.178,93681.2,1.03
0.198,93680.06,1.03
0.218,93680.64,1.03
0.238,93682.72,1.03
0.258,93677.33,1.03
0.278,93680.18,1.03
0.298,93680.16,1.03
0.318,93680.78,1.03
0.338,93680.36,1.03
0.358,93682.83,1.03
0.378,93682.5,1.03
0.398,93682.16,1.03
0.418,93680.65,1.04
0.438,93681.87,1.04
0.458,93683.03,1.04
0.478,93680.53,1.04
0.498,93681.63,1.04
0.518,93681,1.03
0.538,93681.48,1.03
0.558,93678.06,1.03
0.578,93680.22,1.03
0.598,93680.06,1.03
0.618,93681.69,1.04
0.638,93680.29,1.04
0.658,93680.68,1.04
0.678,93682.13,1.04
0.698,93679.15,1.04
0.718,93682.42,1.03
0.738,93680.77,1.03
0.758,93682.02,1.03
0.778,93680.32,1.03
0.848,93658.93,1.03
0.868,93679.48,1.03
0.888,93680.8,1.03
0.908,93679.07,1.03
0.928,93679.41,1.03
0.948,93680.62,1.04
0.968,93677.97,1.04
0.988,93680.34,1.04
1.008,93679.58,1.04
1.028,93678.23,1.04
1.048,93677.99,1.03
1.068,93679.31,1.03
1.088,93680.7,1.03
1.108,93680.66,1.03
1.128,93682.49,1.03
1.148,93679.77,1.08
1.168,93679.55,1.08
1.188,93680.89,1.08
1.208,93680.69,1.08
1.228,93681.26,1.08
1.248,93680.37,1
1.268,93682.29,1
1.288,93680.68,1
1.308,93682.02,1
1.328,93680.81,1
1.348,93680.75,1.01
1.368,93679.68,1.01
1.388,93680.5,1.01
1.408,93682.56,1.01
1.428,93680.43,1.01
1.448,93680.77,1.02
1.468,93681.35,1.02
1.488,93679.82,1.02
1.508,93682.08,1.02
1.528,93681.41,1.02
1.548,93681.43,1.03
1.568,93678.87,1.03
1.588,93680.52,1.03
1.608,93678.63,1.03
1.628,93682.96,1.03
1.648,93681.13,1.03
1.668,93681.11,1.03
1.688,93680.06,1.03
1.708,93683.77,1.03
1.728,93680.5,1.03
1.748,93681.56,1.04
1.768,93680.74,1.04
1.788,93680.62,1.04
1.808,93681.7,1.04
1.828,93680.97,1.04
1.848,93680.17,1.03
1.868,93681.71,1.03
1.888,93682.05,1.03
1.908,93680.91,1.03
1.928,93679.58,1.03
1.948,93678.83,1.03
1.968,93678.74,1.03
1.988,93678.6,1.03
2.008,93680.76,1.03
2.028,93679.8,1.03
2.048,93682.35,1.02
2.068,93681.87,1.02
2.088,93679,1.02
2.108,93680.02,1.02
2.128,93682.89,1.02
2.148,93679.88,1.03
2.168,93679.48,1.03
2.188,93677.87,1.03
2.208,93681.95,1.03
2.228,93679.31,1.03
2.248,93679.34,1.02
2.268,93680.66,1.02
2.288,93682.78,1.02
2.308,93682.02,1.02
2.328,93683.94,1.02
2.348,93682.18,1.02
2.368,93680.89,1.02
2.388,93678.37,1.02
2.408,93680.27,1.02
2.428,93681.24,1.02
2.448,93680.34,1.03
